Titles,Lifetime_Gross,Max_theaters,Opening_col,Opening_theaters,Release_date,Distributor,Rank
The Hunting of the President,376612,20,"$23,298",2,2004-06-18,Regent Releasing,393
Grace Jones: Bloodlight and Bami,375208,36,"$56,171",3,2018-04-13,Kino Lorber,394
Genghis Blues,374550,6,"$6,524",1,1999-07-01,Roxie Releasing,395
The Decline of Western Civilization Part II: The Metal Years,373743,21,"$45,008",21,1988-06-03,New Line Cinema,396
Keep the River on Your Right: A Modern Cannibal Tale,373366,15,"$12,623",2,2001-03-30,IFC Films,397
Hava Nagila,370218,24,"$8,218",1,2013-03-01,International Film Circuit,398
When Comedy Went to School,369065,13,"$17,001",5,2013-07-31,International Film Circuit,399
Glen Campbell: I'll Be Me,365422,18,"$86,741",10,2014-10-24,Area 23a,400
Mountain,365412,35,"$6,067",1,2018-05-11,Greenwich Entertainment,401
Kusama: Infinity,360931,22,"$30,998",2,2018-09-07,Magnolia Pictures,404
Letters from Baghdad,359735,20,"$19,725",2,2017-06-02,Vitagraph Films,405
Eat That Question,355074,29,"$16,695",2,2016-06-24,Sony Pictures Classics,406
"Broadway: The Golden Age, by the Legends Who Were There",353580,14,"$16,524",2,2004-06-11,Dada Films,407
Long Strange Trip,351957,56,"$33,272",56,2017-05-25,Abramorama,408
Pearl Jam: Let's Play Two,348833,201,"$53,177",5,2017-09-29,Abramorama,409
Suicide the Ripple Effect,347468,25,"$2,600",1,2018-02-23,GathrFilms,410
Koch,342941,16,"$35,196",2,2013-02-01,Zeitgeist Films,411
Happy People: A Year in the Taiga,338987,23,"$10,481",1,2013-01-25,Music Box Films,412
Kings of Pastry,336386,10,"$15,162",2,2010-09-15,First Run,413
The Devil and Daniel Johnston,334450,17,"$23,192",5,2006-03-31,Sony Pictures Classics,414
Ballet 422,333554,27,"$27,653",2,2015-02-06,Magnolia Pictures,415
Elaine Stritch: Shoot Me,327452,41,"$27,853",2,2014-02-21,IFC Films,416
The Central Park Five,325653,22,"$30,570",3,2012-11-23,IFC Films,417
The Boys of Baraka,323860,9,"$9,705",1,2005-11-30,THINKFilm,418
A Film Unfinished,320486,16,"$34,060",4,2010-08-18,Oscilloscope,419
The Opera House,320079,627,"$191,466",604,2018-01-13,Fathom Events,420
Bukowski: Born into This,318816,8,"$27,095",5,2004-05-28,Magnolia Pictures,422
Trekkies,318246,339,"$125,636",339,1999-05-21,Paramount Classics,423
America's Heart & Soul,314402,98,"$134,939",98,2004-07-02,Walt Disney Studios Motion Pictures,426
Citizen Jane: Battle for the City,313411,25,"$31,451",2,2017-04-21,IFC Films,427
For the Bible Tells Me So,312751,15,"$7,412",1,2007-10-05,First Run,429
The Hornet's Nest,312706,57,"$26,550",4,2014-05-09,Freestyle Releasing,430
L'amour fou,312494,18,"$37,250",2,2011-05-13,IFC Films,431
West of Memphis,310154,40,"$13,360",5,2012-12-25,Sony Pictures Classics,432
I Am Eleven,310116,16,"$5,800",2,2014-09-12,Proud Mother Pictures,433
The Panama Deception,309596,11,"$6,563",1,1992-07-31,Empowerment Project,434
Bigger Stronger Faster*,308575,26,"$31,576",6,2008-05-30,Magnolia Pictures,435
Merchants of Doubt,308156,30,"$20,300",4,2015-03-06,Sony Pictures Classics,436
Aquarela,307346,69,"$24,753",5,2019-08-16,Sony Pictures Classics,437
Francofonia,307040,25,"$22,083",2,2016-04-01,Music Box Films,438
This Film Is Not Yet Rated,306845,18,"$30,664",2,2006-09-01,IFC Films,439
Nico Icon,306691,4,"$14,763",2,1995-09-08,Roxie Releasing,440
Unmistaken Child,306140,6,"$6,293",1,2009-06-03,Oscilloscope,441
Being Elmo: A Puppeteer's Journey,304052,15,"$22,963",1,2011-10-21,Submarine Deluxe,442
Linsanity,302645,16,"$99,462",9,2013-10-04,Ketchup Entertainment,443
God Grew Tired of Us,301447,10,"$21,858",2,2007-01-12,Newmarket Films,444
Crazy Love,301027,38,"$17,952",3,2007-06-01,Magnolia Pictures,445
42 Up,300880,5,"$11,599",1,1999-11-17,First Run,446
Ask Dr. Ruth,297195,110,"$93,128",104,2019-05-03,Magnolia Pictures,447
Room 237,296359,28,"$29,693",2,2013-03-29,IFC Films,448
Bonhoeffer,296181,7,"$10,099",1,2003-06-20,First Run,449
Power and Terror: Noam Chomsky in Our Times,290767,4,"$9,442",1,2002-11-22,First Run,450
Antarctica: A Year on Ice,288757,30,"$32,238",8,2014-11-28,Music Box Films,452
Above and Beyond,288751,13,"$6,448",1,2015-01-30,International Film Circuit,453
Last Train Home,288328,14,"$20,418",1,2010-09-03,Zeitgeist Films,454
American Pimp,287724,9,"$28,699",5,2000-06-09,Seventh Art Releasing,456
Outrage,287198,18,"$32,589",5,2009-05-08,Magnolia Pictures,457
The Interrupters,282448,10,"$7,920",1,2011-07-29,The Cinema Guild,460
Created Equal: Clarence Thomas in His Own Words,282149,53,"$74,577",23,2020-01-31,Manifold Productions Inc.,461
Mike Wallace Is Here,281245,39,"$19,437",3,2019-07-26,Magnolia Pictures,462
American Hardcore,279665,19,"$18,102",1,2006-09-22,Sony Pictures Classics,463
"20,000 Days on Earth",279558,28,"$27,879",1,2014-09-17,Drafthouse Films,464
The Unknown Known,276497,80,"$64,315",18,2014-04-04,RADiUS-TWC,465
Science Fair,276195,36,"$11,231",1,2018-09-14,National Geographic Entertainment,466
Morning Light,275497,55,"$129,295",55,2008-10-17,Walt Disney Studios Motion Pictures,467
Taxi to the Dark Side,274661,20,"$10,930",2,2008-01-18,THINKFilm,468
Planet B-Boy,273870,14,"$27,777",2,2008-03-21,Elephant Eye Films,469
The Black Power Mixtape 1967-1975,273749,13,"$17,316",2,2011-09-09,IFC Films,470
Heavy Petting,272371,11,"$69,007",10,1989-09-22,Skouras Pictures,472
Countdown to Zero,272040,28,"$41,307",3,2010-07-23,Magnolia Pictures,473
Deep Water,271143,17,"$22,632",2,2007-08-24,IFC Films,474
One Child Nation,270128,36,"$20,523",2,2019-08-09,Amazon Studios,475
This Old Cub,270014,6,"$31,252",6,2004-03-26,Emerging Pictures,476
Surfwise,269994,13,"$10,304",1,2008-05-09,Magnolia Pictures,477
American Dream,269823,7,"$9,291",2,1992-03-18,Miramax,478
The World Before Your Feet,268644,11,"$22,482",2,2018-11-21,Greenwich Entertainment,479
Harvard Beats Yale 29-29,268431,13,"$14,088",3,2008-11-19,Kino International,480
Conan O'Brien Can't Stop,267965,24,"$97,043",24,2011-06-24,Abramorama,481
Cunningham,265102,23,"$18,422",4,2019-12-13,Magnolia Pictures,482
Phil Ochs: There But for Fortune,263723,13,"$18,211",1,2011-01-05,First Run,483
Steep,260586,23,"$21,189",17,2007-12-21,Sony Pictures Classics,486
Hitchcock/Truffaut,260430,23,"$28,178",3,2015-12-02,Cohen Media Group,489
The King,259291,45,"$29,050",2,2018-06-22,Oscilloscope,490
The Green Prince,258237,24,"$32,698",4,2014-09-12,Music Box Films,491
Mayor of the Sunset Strip,257315,18,"$21,722",7,2004-03-26,First Look International,492
Dancemaker,256780,6,"$10,594",3,1999-03-03,Artistic License,493
Alive Inside: A Story of Music and Memory,256682,20,"$7,200",1,2014-07-18,Bond/360,494
Jean-Michel Basquiat: The Radiant Child,256242,7,"$17,466",1,2010-07-21,Arthouse Films,495
"Life, Animated",255388,60,"$21,883",3,2016-07-01,The Orchard,496
The Yes Men,255364,32,"$24,373",3,2004-09-24,United Artists,497
National Gallery,253941,15,"$10,049",1,2014-11-05,Zipporah Films,500
Theremin: An Electronic Odyssey,253311,11,"$8,335",1,1995-08-25,Orion Classics,501
Life in a Day,252788,19,"$45,202",11,2011-07-29,National Geographic Entertainment,502
Meeting Gorbachev,251837,42,"$18,128",2,2019-05-03,1091 Pictures,504
Gay Sex in the 70s,249565,5,"$17,357",1,2005-11-04,Lovett Releasing,505
Joe Strummer: The Future Is Unwritten,248362,17,"$20,880",2,2007-11-02,IFC Films,506
The Galapagos Affair: Satan Came to Eden,247159,15,"$5,185",1,2014-04-04,Zeitgeist Films,508
Enlighten Up!,246649,12,"$11,799",1,2008-09-12,Balcony Releasing,509
Watermarks,246094,9,"$4,837",1,2005-01-21,Kino International,510
When You're Strange,246078,8,"$66,833",8,2010-04-09,Abramorama,511
The Waiting Room,244951,8,"$7,086",4,2012-09-26,International Film Circuit,512
The Summit,243550,70,"$20,904",8,2013-10-04,IFC Films,513
Oasis: Supersonic,242867,106,"$16,880",14,2016-10-26,A24,514
My Perestroika,242707,19,"$17,680",1,2011-03-23,International Film Circuit,515
Gerhard Richter Painting,242646,9,"$13,537",1,2012-03-14,Kino Lorber,516
49 Up,241772,21,"$53,277",21,2006-10-06,First Run,517
Manufactured Landscapes,240239,12,"$9,129",1,2007-06-20,Zeitgeist Films,518
The Beaches of Agnès,239711,7,"$19,032",3,2009-07-02,The Cinema Guild,519
Uncovered: The War on Iraq,238924,22,"$31,481",7,2004-08-20,Cinema Libre Studio,520
Generation Wealth,237709,45,"$35,834",4,2018-07-20,Magnolia Pictures,522
Art and Craft,235037,20,"$20,879",2,2014-09-19,Oscilloscope,526
Weapons of the Spirit,232981,4,"$18,580",1,1989-09-01,First Run,528
My Kid Could Paint That,231574,20,"$26,290",8,2007-10-05,Sony Pictures Classics,529
A Place at the Table,231378,35,"$92,257",35,2013-03-01,Magnolia Pictures,530
Matangi/Maya/M.I.A,230808,9,"$43,573",2,2018-09-28,Abramorama,531
Standard Operating Procedure,229117,21,"$14,108",2,2008-04-25,Sony Pictures Classics,532
Jeremiah Tower: The Last Magnificent,228153,33,"$20,268",2,2017-04-21,The Orchard,533
This So-Called Disaster,226658,3,"$8,435",1,2004-04-21,IFC Films,534
The Agronomist,226189,21,"$30,855",7,2004-04-23,THINKFilm,535
The Ballad of Ramblin' Jack,225682,20,"$6,776",1,2000-08-16,Lot 47 Films,537
The Beauty Academy of Kabul,225448,13,"$2,407",2,2005-11-04,Shadow Distribution,538
Into the Abyss,223880,30,"$47,559",12,2011-11-11,IFC Films,540
The Cockettes,220165,6,"$17,118",3,2002-05-10,Strand Releasing,542
New York Doll,219672,11,"$17,583",5,2005-10-28,First Independent Pictures,543
California Typewriter,218563,20,"$5,031",1,2017-08-18,Gravitas Ventures,546
Dark Money,217932,20,"$8,100",1,2018-07-13,PBS Distribution,547
Bus 174,217201,5,"$8,625",1,2003-10-08,THINKFilm,548
Chris & Don: A Love Story,216110,12,"$10,337",2,2008-06-13,Zeitgeist Films,549
Call + Response,215185,17,"$41,346",12,2008-10-10,Fair Trade Pictures,550
Neil Young Journeys,215026,23,"$12,025",3,2012-06-29,Sony Pictures Classics,551
Supermensch,213064,46,"$23,017",4,2014-06-06,RADiUS-TWC,552
Big Sonia,212471,4,"$4,398",1,2017-11-17,Argot Pictures,553
Somewhere Between,210975,6,"$7,799",1,2012-08-24,Long Shot Factory,554
The House I Live In,210752,12,"$16,453",2,2012-10-05,Abramorama,555
Mondovino,209618,8,"$9,840",1,2005-03-23,THINKFilm,556
A Man Named Pearl,208392,9,"$8,378",3,2007-08-31,Tentmakers Entertainment,558
Heading Home: The Tale of Team Israel,207533,7,"$12,678",1,2018-12-14,Menemsha Films,562
Sweetgrass,207473,9,"$9,870",1,2010-01-06,The Cinema Guild,563
Soul Power,207121,23,"$23,893",6,2009-07-10,Sony Pictures Classics,564
Ayn Rand: A Sense of Life,205246,4,"$26,101",2,1998-02-13,Strand Releasing,565
The Untold Story of Emmett Louis Till,204956,10,"$8,230",1,2005-08-17,THINKFilm,566
Hesburgh,204709,36,"$17,009",2,2019-04-26,Music Box Films,567
Iraq in Fragments,204462,12,"$24,435",7,2006-11-08,Arab Film Distribution,568
Darwin's Nightmare,203746,6,"$8,072",1,2005-08-03,International Film Circuit,569
Deliver Us from Evil,201275,24,"$15,656",4,2006-10-13,Lionsgate,571
Imelda,200992,6,"$24,077",6,2004-06-09,Unico Entertainment,572
No Place on Earth,200238,27,"$13,813",2,2013-04-05,Magnolia Pictures,573
Risk,200219,45,"$76,327",34,2017-05-05,Neon,574
Cutie and the Boxer,200036,16,"$21,098",3,2013-08-16,RADiUS-TWC,575
What Would Jesus Buy?,200010,25,"$9,527",1,2007-11-16,Warrior Poets Releasing,576
Studio 54,199767,14,"$14,909",1,2018-10-05,Zeitgeist Films,577
South of the Border,198600,12,"$21,545",1,2010-06-25,Cinema Libre Studio,578
Herb & Dorothy,194721,8,"$9,242",2,2009-06-05,Arthouse Films,580
The Yes Men Fix the World,194533,16,"$1,242",2,2009-09-25,Shadow Distribution,581
Free Angela and All Political Prisoners,194102,16,"$69,306",16,2013-04-05,Codeblack Entertainment,582
Mondo New York,193209,1,"$10,752",1,1988-04-22,Fourth and Broadway,583
The Final Year,191900,39,"$67,971",35,2018-01-19,Magnolia Pictures,584
Code Black,190229,10,"$6,319",1,2014-06-20,Long Shot Factory,585
Client 9,189416,17,"$16,962",3,2010-11-05,Magnolia Pictures,587
Waste Land,187716,8,"$9,806",1,2010-10-29,Arthouse Films,590
Never-Ending Man: Hayao Miyazaki,187320,377,"$10,238",4,2018-12-13,GKIDS,591
Jig,183790,5,"$70,432",5,2011-06-17,Screen Media Films,592
The River and the Wall,183602,57,"$57,504",57,2019-05-03,Gravitas Ventures,593
"The Man Nobody Knew: In Search of My Father, CIA Spymaster William Colby",183342,8,"$15,411",1,2011-09-23,First Run,594
Lambert & Stamp,183320,31,"$13,500",3,2015-04-03,Sony Pictures Classics,595
Whose Streets?,182799,39,"$43,804",24,2017-08-11,Magnolia Pictures,596
Winnebago Man,181039,12,"$16,469",2,2010-07-09,Kino International,597
An Honest Liar,180590,15,"$13,821",2,2015-03-06,Abramorama,598
Chop Suey,179914,5,"$10,472",1,2001-10-05,Zeitgeist Films,599
The Bridge,179780,19,"$49,313",19,2006-10-27,First Stripe Productions,600
Constantine's Sword,179507,6,"$10,131",2,2008-04-18,First Run,601
Protocols of Zion,178875,10,"$21,733",4,2005-10-21,THINKFilm,602
Monumental: In Search of America's National Treasure,177729,27,"$28,340",6,2012-03-30,ArtAffects Entertainment,603
Chicago 10,177490,14,"$42,724",14,2008-02-29,Roadside Attractions,604
Bush's Brain,177485,9,"$11,927",4,2004-08-20,Tartan,605
Anita: Speaking Truth to Power,176979,12,"$44,114",7,2014-03-21,The Samuel Goldwyn Company,606
Casino Jack and the United States of Money,176865,21,"$28,234",9,2010-05-07,Magnolia Pictures,607
Touch the Sound: A Sound Journey with Evelyn Glennie,176801,9,"$8,435",3,2005-09-07,Shadow Distribution,608
An Unreasonable Man,176647,11,"$9,813",1,2007-01-31,IFC Films,609
"Iyengar: The Man, Yoga, and the Student's Journey",176387,11,"$9,248",1,2019-04-12,Kino Lorber,610
Take Every Wave: The Life of Laird Hamilton,176076,31,"$12,636",1,2017-09-29,IFC Films,611
Always at The Carlyle,174251,23,"$9,239",1,2018-05-11,Good Deed Entertainment,612
SOMM,174197,9,"$28,050",5,2013-06-21,The Samuel Goldwyn Company,613
Mr. Gaga: A True Story of Love and Dance,173994,8,"$25,354",2,2017-02-01,Abramorama,614
Afternoon of a Faun: Tanaquil Le Clercq,172450,11,"$15,292",2,2014-02-05,Kino Lorber,616
All Things Must Pass,172394,14,"$19,001",2,2015-10-16,Gravitas Ventures,617
Youssou Ndour: I Bring What I Love,172225,7,"$32,598",3,2009-06-12,Shadow Distribution,618
David Lynch: The Art Life,171419,8,"$10,823",1,2017-03-31,Janus Films,619
Crude,170295,7,"$16,595",1,2009-09-09,First Run,621
"Asbury Park: Riot, Redemption, Rock & Roll",167684,270,"$7,437",205,2019-05-22,Trafalgar Releasing,622
Genius Within: The Inner Life of Glenn Gould,167508,9,"$17,034",3,2010-09-10,Lorber Films,623
Our Brand Is Crisis,166750,2,"$7,970",1,2006-03-01,Koch Lorber Films,624
Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,166616,14,"$22,717",2,2018-05-11,Magnolia Pictures,625
We Steal Secrets,166243,25,"$27,689",4,2013-05-24,Focus World,626
Far From the Tree,166018,22,"$19,885",2,2018-07-20,IFC Films,627
The Five Obstructions,165845,3,"$8,940",1,2004-05-26,Koch Lorber Films,628
De Palma,165237,19,"$30,355",3,2016-06-10,A24,629
Nureyev: Lifting the Curtain,165203,18,"$6,362",5,2019-04-19,CineLife Entertainment,630
Nas: Time Is Illmatic,164540,43,"$23,200",2,2014-10-01,Tribeca Film,631
Nostalgia for the Light,163962,6,"$5,664",1,2011-01-13,Icarus Films,633
Keep on Keepin' On,163745,9,"$12,930",2,2014-09-19,RADiUS-TWC,634
Nanking,161182,10,"$6,316",1,2007-12-12,THINKFilm,635
Gigantic (A Tale of Two Johns),160621,5,"$6,411",1,2003-05-23,Cowboy Pictures,637
The Witness,159305,15,"$14,523",1,2016-06-03,FilmRise,638
Girls Rock!,159294,14,"$29,917",7,2008-03-07,Shadow Distribution,639
The Last Resort,158646,13,"$1,844",1,2018-12-21,Kino Lorber,640
Ex Libris: New York Public Library,158192,15,"$10,926",1,2017-09-13,Zipporah Films,641
Crazy Horse,157782,14,"$7,963",1,2012-01-18,Zipporah Films,642
Eva Hesse,157481,7,"$12,780",1,2016-04-27,Zeitgeist Films,644
Free the Mind,157201,6,"$12,215",1,2013-05-03,International Film Circuit,645
Derrida,157200,6,"$11,473",1,2002-10-23,Zeitgeist Films,646
One Day in September,156818,5,"$15,149",5,2000-11-17,Sony Pictures Classics,647
The Horse Boy,156612,5,"$6,554",3,2009-09-30,Zeitgeist Films,648
The Gleaners & I,155320,4,"$12,655",2,2001-03-07,Zeitgeist Films,650
Bra Boys,155056,23,"$45,589",23,2008-04-11,Slowhand Cinema Releasing,651
Magic Trip: Ken Kesey's Search for a Kool Place,154521,18,"$14,367",4,2011-08-05,Magnolia Pictures,652
Citizen Koch,153908,24,"$10,200",1,2014-06-06,Variance Films,653
Brothers at War,153148,18,"$33,142",7,2009-03-13,The Samuel Goldwyn Company,654
Backstreet Boys: Show 'Em What You're Made Of,153068,60,"$153,068",60,2015-01-30,Gravitas Ventures,656
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,152791,7,"$13,802",1,2013-04-17,Kino Lorber,657
ShowBusiness: The Road to Broadway,151792,9,"$8,829",1,2007-05-11,Regent Releasing,658
Go Tigers!,151779,61,"$64,479",61,2001-09-21,IFC Films,659
Jay Myself,151331,17,"$18,909",1,2019-07-31,Oscilloscope,661
Made In Mexico,151133,26,"$76,123",12,2012-11-30,Lionsgate,662
Dancing in Jaffa,151098,23,"$10,564",2,2014-04-11,IFC Films,663
Revenge of the Electric Car,150886,11,"$17,482",2,2011-10-21,Area 23a,664
Stoked: The Rise and Fall of Gator,150268,13,"$10,998",1,2003-08-22,Palm Pictures,665
Seasons,150092,22,"$27,134",13,2016-11-25,Music Box Films,666
Cocaine Cowboys,150056,14,"$36,295",12,2006-10-27,Magnolia Pictures,667
Eating Animals,149614,25,"$34,524",2,2018-06-15,IFC Films,668
Chavela,148666,14,"$22,453",4,2017-10-04,Music Box Films,670
Bad Reputation,148568,196,"$130,675",196,2018-09-28,Magnolia Pictures,671
Jonestown: The Life and Death of Peoples Temple,148292,5,"$7,482",1,2006-10-20,Seventh Art Releasing,672
Halston,148063,30,"$11,643",1,2019-05-24,The Orchard,673
Restless Creature: Wendy Whelan,147780,8,"$19,879",2,2017-05-23,Abramorama,674
Framing John DeLorean,145625,28,"$6,991",1,2019-06-07,IFC Films,676
The Last Dalai Lama?,145524,18,"$9,786",4,2017-07-07,Matson Films,677
Narco Cultura,145088,46,"$6,093",1,2013-11-22,Cinedigm Entertainment Group,678
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,144601,12,"$9,805",1,2006-07-07,Miramax,679
Thunder Soul,143986,37,"$51,260",35,2011-09-23,Roadside Attractions,680
Kids for Cash,143178,12,"$36,639",4,2014-02-07,Paladin,681
Flow: For Love of Water,142569,11,"$3,644",1,2008-03-21,Oscilloscope,682
Music from the Inside Out,141504,4,"$13,444",1,2005-04-22,Emerging Pictures,684
Gore Vidal: The United States of Amnesia,140164,11,"$13,744",2,2014-05-23,IFC Films,685
Troublesome Creek: A Midwestern,140000,8,"$8,318",1,1997-01-03,Artistic License,686
Mistaken for Strangers,138991,9,"$87,743",9,2014-03-28,Abramorama,687
Good Ol' Freda,138811,17,"$6,798",1,2013-09-06,Magnolia Pictures,688
Ingrid Bergman: In Her Own Words,138148,13,"$8,355",1,2015-11-13,Rialto Pictures,689
Who Will Write Our History,138039,6,"$13,390",1,2019-01-18,Abramorama,690
Is the Man Who Is Tall Happy?,137042,15,"$31,800",3,2013-11-22,IFC Films,691
The Other Dream Team,135228,14,"$19,821",2,2012-09-28,The Film Arcade,692
A Perfect Candidate,134485,8,"$11,448",1,1996-06-19,Seventh Art Releasing,694
The Times of Bill Cunningham,134288,19,"$41,945",2,2020-02-14,Greenwich Entertainment,695
Don't Think I've Forgotten: Cambodia's Lost Rock and Roll,133443,7,"$19,206",3,2015-04-22,Argot Pictures,696
Naqoyqatsi,133058,9,"$17,154",2,2002-10-18,Miramax,697
"Hare Krishna! The Mantra, the Movement and the Swami Who Started It",133006,54,"$22,310",1,2017-06-16,Abramorama,698
The Devil Came on Horseback,132782,7,"$11,143",1,2007-07-25,International Film Circuit,699
Stolen,132596,5,"$6,250",1,2006-04-19,International Film Circuit,700
Deep Blue,132261,5,"$8,373",2,2005-06-03,Miramax,702
Kumaré,132160,9,"$9,601",1,2012-06-20,Kino Lorber,703
How to Survive a Plague,132055,15,"$28,250",4,2012-09-21,IFC Films,704
A Ballerina's Tale,131995,16,"$9,388",2,2015-10-14,IFC Films,705
Until the Light Takes Us,130441,3,"$7,246",1,2009-12-04,Variance Films,706
Be Here to Love Me,129988,5,"$9,098",1,2005-12-02,Palm Pictures,709
I Called Him Morgan,128986,11,"$12,902",1,2017-03-24,Submarine Deluxe,710
Stonewall Uprising,128203,10,"$15,729",4,2010-06-16,First Run,711
City of Ghosts,128015,18,"$13,601",2,2017-07-07,IFC Films,712
A Band Called Death,127257,16,"$34,839",15,2013-06-28,Drafthouse Films,715
Dig!,127067,10,"$20,437",2,2004-10-01,Palm Pictures,716
Unknown White Male,126836,11,"$24,591",4,2006-02-24,Wellspring Media,717
Escape Fire: The Fight to Rescue American Healthcare,126238,12,"$30,953",12,2012-10-05,Roadside Attractions,719
The B-Side,125227,25,"$12,035",3,2017-06-30,Neon,720
The First Saturday in May,124294,20,"$54,553",20,2008-04-18,Truly Indie,722
The Square,124244,9,"$16,359",1,2013-10-25,Noujaim Films,723
Sigur Rós: Inni,123482,7,"$14,903",3,2011-10-28,Cinema Purgatorio,724
Buena Vista Social Club: Adios,123445,80,"$64,469",80,2017-05-26,Broad Green Pictures,725
The Last Mountain,122961,7,"$17,570",2,2011-06-03,Dada Films,726
Manda Bala (Send a Bullet),122905,9,"$14,030",1,2007-08-17,City Lights Pictures,727
The Punk Singer,122742,24,"$24,729",3,2013-11-29,IFC Films,728
The Kingmaker,122587,18,"$19,523",2,2019-11-08,Greenwich Entertainment,729
A Tuba to Cuba,121772,16,"$11,270",2,2019-02-15,Blue Fox Entertainment,731
Fidel,121304,2,"$19,320",2,2002-10-18,First Run,732
In Jackson Heights,121094,8,"$15,150",1,2015-11-04,Zipporah Films,733
Miss Sharon Jones!,120880,12,"$10,323",1,2016-07-29,Starz Digital Media,736
Hockney,120745,10,"$13,683",4,2016-04-22,Film Movement,737
Examined Life,120712,6,"$12,085",1,2009-02-25,Zeitgeist Films,738
Citizen K,120411,15,"$10,571",1,2019-11-22,Greenwich Entertainment,740
Do I Sound Gay?,119388,18,"$10,461",1,2015-07-10,IFC Films,741
Five Seasons: The Gardens of Piet Oudolf,119223,9,"$7,525",3,2018-06-13,Argot Pictures,742
The Great Buster,118344,14,"$7,107",2,2018-10-05,Cohen Media Group,743
See What I'm Saying: The Deaf Entertainers Documentary,118206,21,"$4,996",1,2010-03-19,Worldplay,744
Bisbee '17,117470,14,"$6,650",1,2018-09-05,4th Row Films,745
Ryuichi Sakamoto: Coda,117460,9,"$12,827",1,2018-07-06,MUBI,746
Storm Surfers 3D,117090,7,"$7,299",2,2013-04-26,XLrator Media,747
Sir! No Sir!,116944,7,"$7,547",2,2006-04-07,Balcony Releasing,748
The Undefeated,116381,14,"$65,132",10,2011-07-15,Arc Entertainment,750
Be Natural: The Untold Story of Alice Guy-Blaché,115804,14,"$3,237",1,2019-04-19,Zeitgeist Films,752
War Dance,115210,10,"$15,471",3,2007-11-09,THINKFilm,753
Sound and Fury,114882,6,"$7,104",2,2000-10-25,Artistic License,755
Ballerina,114507,5,"$2,656",1,2009-01-16,First Run,756
After Innocence,114264,4,"$10,194",1,2005-10-21,New Yorker Films,757
Ain't in It for My Health: A Film About Levon Helm,113966,10,"$7,937",1,2013-04-19,Kino Lorber,758
The Woman Who Loves Giraffes,113858,22,"$1,810",2,2019-10-04,Zeitgeist Films,759
Abacus: Small Enough to Jail,113278,8,"$12,528",1,2017-05-19,PBS Distribution,760
God the Father,113276,15,"$15,037",1,2014-10-17,Rocky Mountain Pictures,761
Follow Me: The Yoni Netanyahu Story,112679,19,"$7,882",1,2012-05-04,International Film Circuit,762
Spinning Plates,112449,6,"$20,717",3,2013-10-25,The Film Arcade,763
Killing Kasztner,112313,5,"$5,513",1,2009-10-23,Sky Island Films,764
"Hale County This Morning, This Evening",112282,8,"$8,640",2,2018-09-14,The Cinema Guild,765
Marwencol,112036,6,"$3,276",1,2010-10-08,The Cinema Guild,767
Rich Hill,111376,28,"$9,635",1,2014-08-01,The Orchard,768
"Wild Horse, Wild Ride",111205,21,"$3,610",1,2012-08-24,Screen Media Films,769
The Overnighters,110763,23,"$4,324",1,2014-10-10,Drafthouse Films,770
Word Wars,110617,5,"$7,559",1,2004-05-28,Seventh Art Releasing,772
5 Broken Cameras,109983,9,"$6,674",1,2012-05-30,Kino Lorber,774
Best Worst Movie,109895,2,"$5,503",1,2010-04-23,Abramorama,775
Zero Days,109649,20,"$49,110",18,2016-07-08,Magnolia Pictures,776
Bustin' Down the Door,109427,17,"$17,317",5,2008-07-25,Screen Media Films,777
Darfur Now,109107,24,"$23,217",3,2007-11-02,Warner Independent Pictures (WIP),778
The Look of Silence,109089,14,"$6,616",1,2015-07-17,Drafthouse Films,779
Trumbo,109057,6,"$28,125",3,2008-06-27,The Samuel Goldwyn Company,780
Jimmy Carter Man from Plains,108807,21,"$10,413",7,2007-10-26,Sony Pictures Classics,781
Bettie Page Reveals All,108118,21,"$4,846",1,2013-11-22,Music Box Films,782
Carlos Castaneda: Enigma of a Sorcerer,107040,2,"$4,236",2,2004-03-05,Indican Pictures,783
Best Worst Thing That Ever Could Have Happened,106986,7,"$23,490",2,2016-11-18,Abramorama,784
Ivory Tower,106771,12,"$17,857",2,2014-06-13,The Samuel Goldwyn Company,785
Fellini: I'm a Born Liar,106686,5,"$8,981",1,2003-04-02,First Look International,786
The Way We Get By,106542,7,"$7,149",1,2009-07-17,International Film Circuit,787
The Brink,106057,124,"$18,063",4,2019-03-28,Magnolia Pictures,788
"Love, Cecil",106057,8,"$9,331",1,2018-06-29,Zeitgeist Films,788
Big Star: Nothing Can Hurt Me,105998,9,"$15,096",2,2013-07-03,Magnolia Pictures,790
A Jihad for Love,105651,5,"$10,519",1,2008-05-21,First Run,792
King Corn,105422,8,"$6,753",1,2007-10-12,Balcony Releasing,793
Guerrilla: The Taking of Patty Hearst,105054,9,"$22,444",4,2004-11-26,Magnolia Pictures,794
Under the Sun,105036,6,"$15,454",2,2016-07-06,Icarus Films,795
Cold Case Hammarskjöld,104965,15,"$18,285",10,2019-08-16,Magnolia Pictures,796
Anthropocene: The Human Epoch,104806,110,"$16,038",7,2019-09-25,Kino Lorber,797
Mr. Untouchable,104678,26,"$48,280",26,2007-10-26,Magnolia Pictures,798
Stevie,103401,13,"$9,383",4,2003-03-28,Lionsgate,799
