Titles,Lifetime_Gross,Max_theaters,Opening_col,Opening_theaters,Release_date,Distributor,Rank
Imagine: John Lennon,3753977,561,"$1,412,213",561,1988-10-07,Warner Bros.,80
Searching for Sugar Man,3696196,157,"$27,459",3,2012-07-27,Sony Pictures Classics,81
Step Into Liquid,3681803,91,"$135,985",5,2003-08-08,Artisan Entertainment,82
Pina,3524826,84,"$68,012",3,2011-12-23,IFC Films,83
Born Into Brothels: Calcutta's Red Light Kids,3515061,127,"$14,605",1,2004-12-08,THINKFilm,84
BTS World Tour: Love Yourself in Seoul,3509917,997,"$2,860,016",997,2019-01-26,Fathom Events,85
An Inconvenient Sequel: Truth to Power,3496795,556,"$124,823",4,2017-07-28,Paramount Pictures,86
Echo in the Canyon,3355324,147,"$117,651",2,2019-05-24,Greenwich Entertainment,87
Rize,3336391,352,"$1,574,787",352,2005-06-24,Lionsgate,88
Catfish,3237343,143,"$257,285",12,2010-09-17,Rogue Pictures,90
Grizzly Man,3178403,105,"$269,131",29,2005-08-12,Lionsgate,91
The Eagle Huntress,3169351,122,"$52,574",4,2016-11-02,Sony Pictures Classics,92
Maiden,3168978,180,"$46,931",6,2019-06-28,Sony Pictures Classics,93
Wordplay,3121270,154,"$32,847",2,2006-06-16,IFC Films,94
Capturing the Friedmans,3119113,78,"$65,154",3,2003-05-30,Magnolia Pictures,95
The Wild Parrots of Telegraph Hill,3058527,67,"$36,731",5,2005-02-09,Shadow Distribution,96
Crumb,3041083,56,"$19,859",1,1995-04-21,Sony Pictures Classics,97
Whitney,3026351,451,"$1,265,572",451,2018-07-06,Roadside Attractions,98
Man on Wire,2962242,93,"$51,392",2,2008-07-25,Magnolia Pictures,100
Joan Rivers: A Piece of Work,2930687,115,"$164,351",7,2010-06-11,IFC Films,101
The Beatles: Eight Days a Week - The Touring Years,2930414,155,"$785,336",85,2016-09-15,Abramorama,102
Unzipped,2875086,119,"$71,275",2,1995-08-04,Miramax,103
Kedi,2835047,130,"$40,103",1,2017-02-10,Oscilloscope,104
Citizenfour,2800870,105,"$126,321",5,2014-10-24,RADiUS-TWC,105
When We Were Kings,2789985,92,"$12,479",2,1996-10-25,Gramercy Pictures (I),106
Comedian,2751988,244,"$60,224",4,2002-10-11,Miramax,107
My Architect,2750707,39,"$37,929",2,2003-11-12,New Yorker Films,108
Samsara,2672413,70,"$76,222",2,2012-08-24,Oscilloscope,110
Control Room,2589616,74,"$27,125",1,2004-05-21,Magnolia Pictures,112
Jiro Dreams of Sushi,2552478,80,"$42,035",2,2012-03-09,Magnolia Pictures,114
The Endurance,2453083,40,"$18,931",3,2001-10-05,Cowboy Pictures,116
The Gatekeepers,2415727,131,"$61,552",3,2013-02-01,Sony Pictures Classics,117
The Queen of Versailles,2401999,89,"$51,326",3,2012-07-20,Magnolia Pictures,118
Hillsong: Let Hope Rise,2394386,816,"$1,357,243",816,2016-09-16,Pure Flix Entertainment,119
Meru,2334228,176,"$91,279",7,2015-08-14,Music Box Films,120
WARx2,2310625,16,"$30,931",1,2015-09-18,Strasson Group,121
A Brief History of Time,2279692,45,"$84,025",5,1992-08-21,Triton Pictures,123
Riding Giants,2276368,64,"$134,400",26,2004-07-09,Sony Pictures Classics,124
The Endless Summer 2,2155385,302,"$657,292",302,1994-06-03,New Line Cinema,126
Blackfish,2073582,99,"$75,962",5,2013-07-19,Magnolia Pictures,127
Beyond the Mat,2053648,298,"$9,532",1,1999-10-22,Lionsgate,129
This Is Elvis,2028612,309,"$429,146",309,1981-04-10,Warner Bros.,130
Pope Francis: A Man of His Word,2008385,385,"$507,870",346,2018-05-18,Focus Features,131
The Corporation,1879983,28,"$28,671",2,2004-06-04,Zeitgeist Films,134
Fantastic Fungi,1788322,37,"$9,419",1,2019-09-20,Area 23a,135
